UnitCode,UnitName,Faculty
ACB1100,Introduction to financial accounting,buseco
ACB1200,Accounting for managers,buseco
ACB2020,Cost information for decision making,buseco
ACB2491,Company reporting,buseco
ACB2851,Accounting information systems and financial modelling,buseco
ACB3021,Performance measurement and control,buseco
ACB3041,Auditing and assurance,buseco
ACB3050,Advanced financial accounting theory and issues,buseco
ACC1100,Introduction to financial accounting,buseco
ACC1200,Accounting for managers,buseco
ACC2100,Financial accounting,buseco
ACC2200,Introduction to management accounting,buseco
ACC2400,Accounting information systems,buseco
ACC2888,Industry-based learning period A,buseco
ACC3100,Advanced financial accounting,buseco
ACC3200,Management accounting,buseco
ACC3600,Auditing and assurance,buseco
ACC3888,Industry-based learning period B,buseco
ACC5903,Accounting for business,buseco
ACF1100,Introduction to financial accounting,buseco
ACF1200,Accounting for managers,buseco
ACF2100,Financial accounting,buseco
ACF2200,Introduction to management accounting,buseco
ACF2400,Accounting information systems,buseco
ACF3100,Advanced financial accounting,buseco
ACF3200,Management accounting,buseco
ACF3600,Auditing and assurance,buseco
ACF3900,Global issues in accounting,buseco
ACF5001,Research project in accounting,buseco
ACF5080,Management control systems,buseco
ACF5100,Strategic management accounting,buseco
ACF5120,Forensic accounting and fraud examination,buseco
ACF5130,Financial statement analysis and business valuation,buseco
ACF5150,Financial reporting issues,buseco
ACF5268,Accounting for healthcare managers,buseco
ACF5320,Business analytics,buseco
ACF5330,Integrated systems for business enterprises,buseco
ACF5350,Applied contemporary accounting,buseco
ACF5510,Integrated accounting,buseco
ACF5903,Accounting for business,buseco
ACF5904,Accounting information systems,buseco
ACF5950,Introductory accounting,buseco
ACF5953,Financial accounting,buseco
ACF5955,Management accounting,buseco
ACF5956,Advanced financial accounting,buseco
ACF5957,Auditing and assurance,buseco
ACG2020,Cost information for decision making,buseco
ACG2491,Company reporting,buseco
ACG2851,Accounting information systems and financial modelling,buseco
ACG3021,Performance measurement and control,buseco
ACG3041,Auditing and assurance,buseco
ACG3050,Advanced financial accounting theory and issues,buseco
ACG5973,Financial accounting,buseco
ACM5903,Accounting for business,buseco
ACP1100,Introduction to financial accounting,buseco
ACP1200,Accounting for managers,buseco
ACP2851,Business information and systems,buseco
ACS1000,Principles of accounting and finance,buseco
ACS1002,Introduction to financial accounting,buseco
ACS2700,Ethics and business,buseco
ACS2730,Financial accounting A,buseco
ACS2740,Financial accounting B,buseco
ACS2760,Auditing A,buseco
ACS2770,Cost and management accounting A,buseco
ACS3730,Financial accounting C,buseco
ACS3740,Financial accounting D,buseco
ACS3750,Cost and management accounting B,buseco
ACS3765,Auditing C,buseco
ACS3770,Auditing B,buseco
ACW1100,Introduction to financial accounting,buseco
ACW1200,Accounting for managers,buseco
ACW2020,Cost information for decision making,buseco
ACW2491,Financial accounting,buseco
ACW2522,Accounting for Islamic financial institutions,buseco
ACW2851,Accounting information systems and financial modelling,buseco
ACW3021,Performance measurement and control,buseco
ACW3040,Accounting theory,buseco
ACW3041,Auditing and assurance,buseco
ACW3050,Advanced financial accounting theory and issues,buseco
ACX2900,Accounting for sustainability,buseco
ACX3150,Financial analysis and valuation,buseco
ACX3250,Advanced management accounting,buseco
ACX3500,International study program in accounting,buseco
ACX4000,Research methods,buseco
ACX4018,Honours research thesis,buseco
ACX4040,Issues in accounting information systems,buseco
ACX4050,Issues in auditing and assurance,buseco
ACX4070,Issues in financial accounting,buseco
ACX4090,Issues in management accounting,buseco
ACX4150,Empirical research in analysis of financial statements,buseco
ACX4190,Behavioural research in accounting,buseco
ACX5951,International study program in accounting,buseco
ADA1111,Design thinking,ada
ADA2001,Interdisciplinary studio 1,ada
ADA3001,Interdisciplinary studio 2,ada
ADA3111,Design thinking,ada
ADA4001,Interdisciplinary studio 3,ada
ADA4111,Design thinking advanced,ada
ADA4500,Design thinking approaches,ada
ADA5001,Interdisciplinary studio 4,ada
ADD5091,Research methods 1,ada
ADD5092,Research methods 2,ada
ADD6093,Research documentation,ada
ADM5001,Research methods,ada
ADM5002,Theory workshop,ada
AHT1101,Introduction to visual culture in Art Design & Architecture,ada
AHT1102,Modernism and the avant-garde,ada
AHT2001,Art writing and criticism,ada
AHT2011,Baroque to enlightenment: European art before modernism,ada
AHT2025,The body in contemporary art,ada
AHT2102,International art 1945-1990,ada
AHT2105,Contemporary international art,ada
AHT2120,Art and social change,ada
AHT2130,Renaissance to Baroque: Italian art and architecture in context,ada
AHT2136,Contemporary art fieldwork: context and site,ada
AHT2137,Art and the moving image,ada
AHT2138,"Space, place and society",ada
AHT2207,Popular culture,ada
AHT2440,Photography: History and theory,ada
AHT2530,Neo-Baroque aesthetics: History and theory,ada
AHT2602,Art criticism and curatorship,ada
AHT2712,Curating: Histories and theories,ada
AHT2722,Curating: Practices,ada
AHT2740,Australian art,ada
AHT2801,The medium in contemporary art,ada
AHT3001,Art writing and criticism,ada
AHT3011,Baroque to enlightenment: European art before modernism,ada
AHT3025,The body in contemporary art,ada
AHT3102,International art 1945-1990,ada
AHT3105,Contemporary international art,ada
AHT3109,Constructing art in Australia: colonialism to postcolonialism,ada
AHT3120,Art and social change,ada
AHT3130,Renaissance to Baroque: Italian art and architecture in context,ada
AHT3137,Art and the moving image,ada
AHT3138,"Space, place and society",ada
AHT3150,Project studies,ada
AHT3207,Popular culture,ada
AHT3440,Photography: History and theory,ada
AHT3530,Neo-Baroque aesthetics: History and theory,ada
AHT3602,Art Criticism and Curatorship,ada
AHT3712,Curating: Histories and theories,ada
AHT3722,Curating: Practices,ada
AHT3740,Australian art,ada
AHT3801,The medium in contemporary art,ada
AHT4002(A),Minor Thesis Part 1,ada
AHT4002(B),Minor Thesis Part 2,ada
AHT4012,Visual culture and its theories,ada
AHT4025,Visual culture internship,ada
AHT4076,Australian postmodernism,ada
AHT4100,Theory reading unit,ada
AHT4111,Project studies. Art history and theory honours,ada
AHT4112,Major project - Art history and theory honours,ada
AHT4200,Advanced art theory reading unit,ada
AHT4406,Curating internship,ada
AHT4503,Advanced art theory,ada
AHT4504,Art theory research seminar,ada
AMG5018,"Celebrity, fashion, publicity",arts
AMG5382,Contemporary issues in Asia,arts
AMG5400,Global digital media: Issues in international and transnational communication,arts
AMG5409,Communication research,arts
AMG5721,Media practices in Southeast Asia,arts
AMG5742,Communications research project,arts
AMG5743,Communications research thesis,arts
AMG5751,Communications industry internship,arts
AMG5894,Communications theories and practices,arts
AMU1017,Academic literacies,arts
AMU1018,Learning in higher education,arts
AMU1277,Media studies,arts
AMU1278,Communication technologies and practices,arts
AMU1304,Television studies: Forms and approaches,arts
AMU1305,Film studies: Forms and approaches,arts
AMU1309,Introduction to sexuality studies,arts
AMU1310,Introduction to gender studies,arts
AMU1325,Introduction to world politics and history,arts
AMU1326,Transformation from above: Globalisation and the state,arts
AMU1328,Introduction to journalism,arts
AMU1329,Broadcast journalism,arts
AMU2140,States and markets,arts
AMU2439,Youth and mobile media,arts
AMU2448,Film genres,arts
AMU2450,Contemporary media theory,arts
AMU2453,Research methods in the social sciences,arts
AMU2498,Contemporary fiction,arts
AMU2625,"Borders, people and identity: Migration in the 21st century",arts
AMU2685,Malaysian studies,arts
AMU2780,Radio news and current affairs,arts
AMU2785,"Media, power and reporting in Southeast Asia",arts
AMU2787,Multimedia journalism,arts
AMU2789,Video news and current affairs,arts
AMU2814,Transforming community: Project design and public relations for social campaigns,arts
AMU2832,Postcolonial and diasporic literature,arts
AMU2906,"Genders, sexualities and religions in Southeast Asia",arts
AMU2907,Sexual and reproductive health and rights in global contexts,arts
AMU2908,Critical methodologies for action research,arts
AMU2920,"Transformation from below: Civil, society, social movements and political change",arts
AMU3127,"Stardom: Celebrity, society and power",arts
AMU3449,Reading social media: Sociotechnological literacies,arts
AMU3451,Freedom and control in the media,arts
AMU3499,Authorship and writing,arts
AMU3560,Contemporary feminisms in Asia,arts
AMU3570,International relations,arts
AMU3575,Task force: Responding to global challenges,arts
AMU3630,"Governing the global economy: Stability, efficiency, justice",arts
AMU3650,A world in crisis: Multilevel responses to global emergencies,arts
AMU3744,Workplace learning internship,arts
AMU3806,Business reporting,arts
AMU3810,Understanding trends in global media,arts
AMU3857,Writing techniques,arts
AMU3858,Writing experiments,arts
AMU4718,Arts honours dissertation 1,arts
AMU4719,Arts honours dissertation 2,arts
AMU4720,Research issues and methodology,arts
AMU4727,"Readings in social, political and cultural theory",arts
ANT1800,Introduction to anatomy and medical terminology,sci
APG4264,"Criminal behaviours and enterprises: Individuals, groups and organisations",arts
APG4287,War and peace: Models of conflict resolution,arts
APG4314,Seeking justice: South Africa and Rwanda,arts
APG4416,Crime prevention: A global perspective,arts
APG4417,"Policing, security and risk management",arts
APG4421,"Dramatic theory, criticism and research methods",arts
APG4423,Performance investigation,arts
APG4553,Field studies in regional sustainability,arts
APG4554,Resource evaluation and management,arts
APG4556,Urbanisation and regional development in the Indo-Pacific rims,arts
APG4571,Human services management: Structure and context,arts
APG4572,Human services management: Principles and process,arts
APG4618,Researching histories,arts
APG4677,Theory and practice in sociology,arts
APG4681,Social research practice,arts
APG4761,Program planning and evaluation in the human services,arts
APG4762,Management and leadership in the human services,arts
APG4763,Human services research methods,arts
APG4789,Research methods in music,arts
APG4809,Advocacy for community rights,arts
APG4823,Water management project management,arts
APG4824,Science of water,arts
APG4825,"Water, sustainability and development",arts
APG4826,Water governance and policy,arts
APG5018,"Celebrity, fashion, publicity",arts
APG5042,Practices of teaching Englishes for intercultural communication,arts
APG5043,Language in society,arts
APG5044,Professional internship,arts
APG5045,Gender and development,arts
APG5046,General linguistics,arts
APG5047,Issues in teaching English as an international language,arts
APG5048,Translation for special purposes,arts
APG5049,Theory and practice of interpreting,arts
APG5050,Communication research methods,arts
APG5051,Special topics in bioethics,arts
APG5054,Research methods for development practice and change,arts
APG5064,"Gender, security and conflict",arts
APG5065,"Governing migration: Refugees, borders and development",arts
APG5066,Shanghai city lab,arts
APG5067,Cultural economy and sustainable development,arts
APG5068,Creative cities,arts
APG5072,Art worlds,arts
APG5080,Bioethics and the body,arts
APG5081,Public health ethics,arts
APG5087,Introduction to disaster preparedness and management,arts
APG5089,Responding to international disasters and humanitarian crises,arts
APG5092,Human rights in global politics,arts
APG5094,Global jihad?,arts
APG5095,Research and writing,arts
APG5099,Media innovation,arts
APG5135,Video journalism,arts
APG5180,Policy and political communication,arts
APG5181,Intergovernmental relations,arts
APG5182,Digital management and production,arts
APG5183,International tourism marketing research project,arts
APG5184,Video-making as research,arts
APG5189,Monitoring and evaluation,arts
APG5190,Global journalism: Hong Kong field school,arts
APG5201,Intensive intermediate Indonesian for fieldwork,arts
APG5202,Intensive introductory Indonesian for fieldwork,arts
