UnitCode,UnitName,Faculty,Sypnosis,Preqs,Proh
ACB1100,Introduction to financial accounting,buseco,"This unit provides students with an introduction to financial accounting guided by the Conceptual Framework and Accounting Standards. Emphasis is placed on accounting processes, practices and policies that enable the financial statements to be prepared. Students will integrate theoretical and technical knowledge learned and exercise judgement to explore accounting issues.",,"ACB1002, AFF1121, ACF1121, AFG1002, ACG1002, AFC1030, AFW1002, ACW1002, ACC1100, ACF1100, ACP1100, ACW1100"
ACB1200,Accounting for managers,buseco,"This unit introduces basic accounting concepts to non-accountants. The information requirements of two main groups of information users are examined - external users such as current and potential investors and internal users such as managers. This unit provides an introduction to the structure, meaning, analysis and interpretation of financial statements, in addition to exploring financial issues confronting managers, such as cost and performance measurement and budgeting.",,"ACB1000, ACC1000, ACF1000, ACP1000, ACG1000, ACW1000, ACB1100, ACC1100, ACF1100, ACP1100, ACW1100, ACC1200, ACF1200, ACP1200"
ACB2020,Cost information for decision making,buseco,"Introduction to management accounting. Topics include: basic terms and concepts, classification and behaviour of costs, recording product cost transactions for manufacturing firms, joint and by-product spoilage and waste, apportioning joint costs for multiple products, activity-based costing and information for management decisions.","AFW1002, ACB1002, ACC1030, ACF1121, ACG1002, ACW1002, AFC1030, AFG1002, AFF1121.","ACC2131, ACF2391, ACG2020, ACW2020, AFC2131, AFF2391, AFG2020, AFW2020"
ACB2491,Company reporting,buseco,"This unit examines the current Australian reporting and regulatory framework applicable to reporting entities including an analysis of significant accounting standards, professional reporting requirements and legal and stock exchange requirements. Accounting for corporate groups and issues in financial reporting are also explored.",AFW1000 or AFG1000 or ACB1000 and AFW1002 or AFG1002 or ACB1002 or ACC1030 or ACF1121 or ACG1002 or ACW1002 or AFC1030 or AFF1121.,"ACC2120, ACF2491, ACG2491, ACG2491, AFC2120, AFF2491, AFG2491"
ACB2851,Accounting information systems and financial modelling,buseco,"The objective of this unit is two-fold. First, the unit provides students with a broad introduction to accounting information systems and the role technology plays in accounting. The focus will be on an introduction to: enterprise systems; database management; documentation methods; internal controls; and the core business processes found in organisations. Second, the unit focuses on corporate modelling theory; models as decision support tools; types and uses of models; benefits and limitations of models; effective spreadsheet design; auditing spreadsheet models and development of various models using an industry standard spreadsheet.","Students must have passed one unit from the following: AFG1000, AFP1000, AFW1000 or AFW1001 (pre 2009) before undertaking this unit.","ACC2851, ACF2851, ACG2851, ACP2851, ACW2851, AFC2160, AFC2851, AFF2051, AFF2851, AFG2851, AFP2851, AFW2051, BUS1060, BUS3030"
ACB3021,Performance measurement and control,buseco,"Topics include the budget planning process including master budget preparation, budgeting standard costs and variance analysis, responsibility accounting, management by objectives and non-financial performance measurement, divisional performance, transfer pricing issues, program budgeting and other approaches, capital budgeting, strategic planning and control.","ACB2020, AFW2020, AFC2131, AFF2391, AFG2020","ACC3131, ACF3431, ACG3021, ACW3021, AFG3021, AFW3021, AFC3131, AFF3431"
ACB3041,Auditing and assurance,buseco,"This unit examines the auditor's legal liabilities, audit process and evidence, the concepts of materiality and risks, study and evaluation of internal control, EDP auditing, audit sampling techniques, the test of transactions cycles and the verification of account balances, auditors reports, and internal and operational auditing.",ACB2491 or ACC2120 or ACF2491 or ACG2491 or ACW2491 or AFC2120 or AFF2491 or AFG2491 or AFW2491,"ACW3041, AFG3041, ACG3041,  AFC3160, ACC3160, AFF3631, ACF3631"
ACB3050,Advanced financial accounting theory and issues,buseco,"Financial accounting topics covered by this unit include: Australian accounting standards, institutional setting and the conceptual framework; accounting for leases; accounting for employee benefits; accounting for financial instruments; cash flow reporting; segment reporting; accounting for EPS; accounting for extractive industries; accounting for agriculture; financial reporting in the public sector; foreign currency translation; and social and environmental reporting.",ACB2491,"AFC3120, ACC3120, AFF3491, ACF3491, AFW3050, ACW3050, ACG3050 and AFG3050"
ACC1100,Introduction to financial accounting,buseco,"This unit provides students with an introduction to financial accounting guided by the Conceptual Framework and Accounting Standards. Emphasis is placed on accounting processes, practices and policies that enable financial statements to be prepared. Students will integrate theoretical and technical knowledge learned and exercise judgement to explore accounting issues.",,"ACB1002, AFF1121, ACF1121, AFG1002, ACG1002, AFC1030, AFW1002, ACW1002, ACF1100, ACP1100."
ACC1200,Accounting for managers,buseco,"This unit introduces basic accounting concepts to non-accountants. The information requirements of two main groups of information users are examined - external users such as current and potential investors and internal users such as managers. This unit provides an introduction to the structure, meaning, analysis and interpretation of financial statements, in addition to exploring financial issues confronting managers, such as cost and performance measurement and budgeting.",,"ACB1000, ACC1000, ACF1000, ACG1000, ACP1000, ACW1000, ACF1200, ACP1200, ACC1100, ACF1100, ACP1100 and ACW1100."
ACC2100,Financial accounting,buseco,"This unit examines financial accounting issues associated with the operation of corporate structures. Topics include financial reporting requirements, financing company operations, business combinations, the nature of corporate groups, the preparation of consolidated financial statements and financial statement analysis.","Students must have passed one of the following units: ACC1030, AFC1030, ACC1100.","ACF2100, ACB2491, AFF2491, ACF2491, AFG2491, ACG2491, AFW2491, ACW2491, ACC2120, AFC2120."
ACC2200,Introduction to management accounting,buseco,"This introductory management accounting unit focuses on the types of cost information that can be produced to assist managers and other employees within organisations in planning and control, and in decision-making. Topics include: costs and cost behaviour, product costing, cost allocation techniques, cost-volume-profit analysis, and the use of cost information for management decisions.","Students must have passed one of the following units: ACC1100, ACC1030, AFC1030.","ACB2020, AFC2131, ACC2131, AFG2020, ACG2020, AFW2020, ACW2020, AFF2391, ACF2391, ACF2200."
ACC2400,Accounting information systems,buseco,"At the core of Accounting Information Systems is the idea that accountants must understand the core business processes that underpin the business activities in an organisation and generate transaction data. Thus, the objective of this unit is to provide students with a broad introduction to the core business processes. Further, given the role technology plays in accounting, with many accounting systems being computerised, other topics covered include: how hardware, software and human processes turn data into useful financial and non-financial information for decision making, methods for documenting and analysing business processes, principles of effective spreadsheet design, systems development and maintenance, and the need to understand internal controls in order to ensure (information and other) resources remain secure from losses through both inadvertent and malicious actions.","Students must have passed one of the following units: AFF1000, ACF1000, AFP1000, ACB1000, ACP1000, ACC1000, AFC1000, ACF1100, ACC1100, ACP1100, ACC1200, ACP1200, ACF1200, ACW1100, ACW1200.","ACF2400, ACB2851, ACC2851, ACF2851, ACG2851, ACP2851, ACW2851, BUS1060, BUS3030, AFF2851, AFC2851, AFW2851, AFP2851."
ACC2888,Industry-based learning period A,buseco,"Over the 14 week period of full-time employment, students will be required to complete one or more specified projects. The projects will be determined by the course coordinator in consultation with the sponsor and the student undergoing the industry-based learning.","Students must have completed 48 credit points, including AFC1030 or ACC1030.",AFC2888
ACC3100,Advanced financial accounting,buseco,"This unit explores advanced financial accounting issues, building on knowledge and skills gained in earlier units in financial accounting. A range of theories used to assess accounting decisions, reporting practices and regulation are examined. The unit focuses on a number of contemporary accounting issues including: measurement, intangible assets, financial instruments, foreign currency transactions and integrated reporting.","Students must have passed one of the following units: AFC2120, ACC2120, ACC2100.","ACB3050, AFF3491, ACF3491, AFG3040, ACG3040, AFC3120, ACC3120, AFG3050, ACG3050, AFW3040, ACW3040, AFW3050, ACW3050, ACF3200."
ACC3200,Management accounting,buseco,"This unit focuses on the provision and use of management accounting information for management planning and control in organisations. Technical and behavioural issues related to budgeting, variance analysis, performance measurement, and value chain management are considered.","Students must have completed one of the following units: AFC2131, ACC2131, ACC2200","ACC3131, AFC3131, ACF3431, AFF3431, ACB3021, AFW3021, ACW3021, AFG3021, ACG3021, ACF3200"
ACC3600,Auditing and assurance,buseco,"This unit encompasses the nature and purpose of audit and assurance services, and the regulatory and professional environment in which they operate. Students apply professional, ethical and legal requirements stemming from the assurance framework and applicable auditing pronouncements to 'real world' scenarios.","Students must have passed one of the following units: ACC2100, AFC2120, ACC2120.","ACF3631, AFF2631, ACC3160, AFC3160, ACB3041, AFW3041, ACW3041, AFG3041, ACG3041, ACF3600, AFF3631."
ACC3888,Industry-based learning period B,buseco,"Over the 12 week period of full-time employment, students will be required to complete one or more specified projects. The projects will be determined by the course coordinator in consultation with the sponsor and the student undergoing the industry-based learning.","Students must have completed 72 credit points, including AFC2120 or ACC2120.",AFC3888
ACC5903,Accounting for business,buseco,"This unit examines accounting as an information system. It will introduce students to accounting principles and reporting practices from a user's perspective. The information requirements of two main groups are examined - external users such as owners, shareholders, investors, potential investors, and internal users such as managers. This unit provides students with an introduction to accounting and an understanding of the preparation, presentation and interpretation of financial statements. In particular, emphasis is placed on an understanding of various business structures including control and reporting aspects of new businesses, processes, practices and policies that enable the financial performance and financial position of an entity, as displayed by the balance sheet, income statement and statement of cash flows, to be measured, analysed and interpreted. Managerial accounting issues are also presented, with particular emphasis on cost management, cost behaviour, budgeting and performance measurement.",,"ACF5903, AFX9003 AND students enrolled in any of the following courses are prohibited: 0790, 0826, 3843, 4402, 0503, 3850, 4401, B6011, B6015"
ACF1100,Introduction to financial accounting,buseco,"This unit provides students with an introduction to financial accounting guided by the Conceptual Framework and Accounting Standards. Emphasis is placed on accounting processes, practices and policies that enable the financial statements to be prepared. Students will integrate theoretical and technical knowledge learned and exercise judgement to explore accounting issues.",,"ACB1002, AFF1121, ACF1121, AFG1002, ACG1002, AFC1030, AFW1002, ACW1002, ACC1100, ACP1100."
ACF1200,Accounting for managers,buseco,"This unit introduces basic accounting concepts to non-accountants. The information requirements of two main groups of information users are examined - external users such as current and potential investors and internal users such as managers. This unit provides an introduction to the structure, meaning, analysis and interpretation of financial statements, in addition to exploring financial issues confronting managers, such as cost and performance measurement and budgeting.",," Students enrolled in the Bachelor of Business specialist (B20031 Bachelor of Accounting)ACB1000, ACC1000, ACF1000, ACP1000, ACG1000, ACW1000, ACC1200, ACP1200, ACC1100, ACF1100, ACP1100 and ACW1100"
ACF2100,Financial accounting,buseco,"This unit examines financial accounting issues associated with the operation of corporate structures. Topics include financial reporting requirements, financing company operations, business combinations, the nature of corporate groups, the preparation of consolidated financial statements and financial statement analysis.","Students must have passed one of the following units: ACF1121, AFF1121, ACF1100, ACP1100.","ACB2491, AFF2491, ACF2491, AFG2491, ACG2491, AFW2491, ACW2491, ACC2120, AFC2120, ACC2100."
ACF2200,Introduction to management accounting,buseco,"This introductory management accounting unit focuses on the types of cost information that can be produced to assist managers and other employees within organisations in planning and control, and in decision-making. Topics include: costs and cost behaviour, product costing, cost allocation techniques, cost-volume-profit analysis, and the use of cost information for management decisions.","Students must have passed one of the following units: ACF1100, ACF1121, AFF1121, ACP1100.","ACB2020, AFC2131, ACC2131, AFG2020, ACG2020, AFW2020, ACW2020, AFF2391, ACF2391, ACC2200."
ACF2400,Accounting information systems,buseco," At the core of Accounting Information Systems is the idea that accountants must understand the core business processes that underpin the business activities in an organisation and generate transaction data. Thus, the objective of this unit is to provide students with a broad introduction to the core business processes.Further, given the role technology plays in accounting, with many accounting systems being computerised, other topics covered include: how hardware, software and human processes turn data into useful financial and non-financial information for decision making, methods for documenting and analysing business processes, principles of effective spreadsheet design, systems development and maintenance, and the need to understand internal controls in order to ensure (information and other) resources remain secure from losses through both inadvertent and malicious actions.","Students must have passed one of the following units:  AFF1000, ACF1000, AFP1000, ACB1000, ACP1000, ACC1000, AFC1000, ACF1100, ACC1100, ACP1100, ACC1200, ACP1200, ACF1200, ACW1100, ACW1200.","ACB2851, ACC2851, ACF2851, ACG2851, ACP2851, ACW2851, BUS1060, BUS3030, AFF2851, AFC2851, AFW2851, AFP2851, ACC2400."
ACF3100,Advanced financial accounting,buseco,"This unit explores advanced financial accounting issues, building on knowledge and skills gained in earlier units in financial accounting. A range of theories used to assess accounting decisions, reporting practices and regulation are examined. The unit focuses on a number of contemporary accounting issues including: measurement, intangible assets, financial instruments, foreign currency transactions and integrated reporting.","Students must have passed one of the following units: AFF2491, AFC2491, ACC2100.","ACB3050, AFF3491, ACF3491, AFG3040, ACG3040, AFC3120, ACC3120, AFG3050, ACG3050, AFW3040, ACW3040, AFW3050, ACW3050, ACC3200"
ACF3200,Management accounting,buseco,"This unit focuses on the provision and use of management accounting information for management planning and control in organisations. Technical and behavioural issues related to budgeting, variance analysis, performance measurement, and value chain management are considered.","Students must have completed one of the following units: AFF2391, ACF2391, ACF2200","ACC3131, AFC3131, ACF3431, AFF3431, ACB3021, AFW3021, ACW3021, AFG3021, ACG3021, ACC3200"
ACF3600,Auditing and assurance,buseco,"This unit encompasses the nature and purpose of audit and assurance services, and the regulatory and professional environment in which they operate. Students apply professional, ethical and legal requirements stemming from the assurance framework and applicable auditing pronouncements to 'real world' scenarios.","Students must have passed one of the following units: AFF2491, ACF2491, ACF2100","ACF3631, AFF2631, ACC3160, AFC3160, ACB3041, AFW3041, ACW3041, AFG3041, ACG3041, ACC3600"
ACF3900,Global issues in accounting,buseco,"This capstone unit integrates prior learning gained throughout the Bachelor of Accounting course and prepares students for transition to a professional career and for undertaking postgraduate studies. Students will be required to analyse, synthesise, critically evaluate, and apply knowledge and skills acquired over the course of their studies to real-world scenarios. Students will also be required to reflect on the role of accounting in organisations and society more generally, and will develop professional judgement, as well as the key skills that are expected of accountants."," Students must have completed the following five units:ACF1100, ACF2100, ACF2200, ACF2400, and ACF3200.",
ACF5001,Research project in accounting,buseco,Students conduct and report on a research project that addresses an important issue in business. The research is likely to have practical as well as theoretical outcomes and implications. The research project is completed under the supervision of academic staff from the Department of Accounting.,ACX4000,
